Date,Visitor,G,Home,G,OT/SO,Attendance,Length of Game
2/4/2016,Detroit Red Wings,3,Florida Panthers,6,,16991,152
2/4/2016,Anaheim Ducks,4,Los Angeles Kings,2,,18230,153
2/4/2016,Philadelphia Flyers,6,Nashville Predators,3,,17113,147
2/4/2016,Minnesota Wild,2,New York Rangers,4,,18006,145
2/4/2016,Edmonton Oilers,7,Ottawa Senators,2,,18564,158
2/4/2016,San Jose Sharks,3,St. Louis Blues,1,,18803,145
2/4/2016,New Jersey Devils,2,Toronto Maple Leafs,3,SO,18947,180
2/4/2016,Columbus Blue Jackets,2,Vancouver Canucks,1,SO,18199,154
2/4/2016,New York Islanders,2,Washington Capitals,3,,18506,143
2/5/2016,Arizona Coyotes,2,Anaheim Ducks,5,,17342,161
2/5/2016,Columbus Blue Jackets,2,Calgary Flames,1,,19289,149
2/5/2016,Pittsburgh Penguins,3,Tampa Bay Lightning,6,,19092,158
2/5/2016,Carolina Hurricanes,5,Winnipeg Jets,3,,15294,140
2/6/2016,Buffalo Sabres,1,Boston Bruins,2,OT,17565,160
2/6/2016,Winnipeg Jets,4,Colorado Avalanche,2,,14983,165
2/6/2016,Chicago Blackhawks,5,Dallas Stars,1,,18532,143
2/6/2016,New York Islanders,1,Detroit Red Wings,5,,20027,169
2/6/2016,Pittsburgh Penguins,3,Florida Panthers,2,OT,20295,158
2/6/2016,Edmonton Oilers,1,Montreal Canadiens,5,,21288,145
2/6/2016,Washington Capitals,3,New Jersey Devils,2,SO,16514,154
2/6/2016,San Jose Sharks,2,Nashville Predators,6,,17192,155
2/6/2016,Toronto Maple Leafs,1,Ottawa Senators,6,,19379,149
2/6/2016,New York Rangers,3,Philadelphia Flyers,2,SO,19819,155
2/6/2016,Minnesota Wild,1,St. Louis Blues,4,,19318,163
2/6/2016,Calgary Flames,4,Vancouver Canucks,1,,18570,139
2/7/2016,Carolina Hurricanes,1,Montreal Canadiens,2,SO,21288,177
2/7/2016,Edmonton Oilers,1,New York Islanders,8,,14030,155
2/7/2016,Philadelphia Flyers,2,Washington Capitals,3,,18506,156
2/8/2016,Florida Panthers,0,Detroit Red Wings,3,,20027,158
2/8/2016,New Jersey Devils,1,New York Rangers,2,,18006,149
2/8/2016,Tampa Bay Lightning,1,Ottawa Senators,5,,17078,145
2/8/2016,Anaheim Ducks,2,Pittsburgh Penguins,6,,18418,154
2/9/2016,Los Angeles Kings,9,Boston Bruins,2,,17565,155
2/9/2016,Florida Panthers,7,Buffalo Sabres,4,,18521,156
2/9/2016,New York Islanders,3,Columbus Blue Jackets,2,SO,14303,171
2/9/2016,Toronto Maple Leafs,3,Calgary Flames,4,,19289,157
2/9/2016,San Jose Sharks,2,Chicago Blackhawks,0,,21753,145
2/9/2016,Vancouver Canucks,3,Colorado Avalanche,1,,14436,142
2/9/2016,Dallas Stars,4,Minnesota Wild,3,OT,19087,160
2/9/2016,Tampa Bay Lightning,2,Montreal Canadiens,4,,21288,153
2/9/2016,Edmonton Oilers,1,New Jersey Devils,2,,16514,144
2/9/2016,Washington Capitals,5,Nashville Predators,3,,17113,153
2/9/2016,Anaheim Ducks,4,Philadelphia Flyers,1,,18717,157
2/9/2016,Winnipeg Jets,2,St. Louis Blues,1,SO,18323,161
2/10/2016,Vancouver Canucks,2,Arizona Coyotes,1,,12255,159
2/10/2016,Ottawa Senators,1,Detroit Red Wings,3,,20027,148
2/10/2016,New York Rangers,3,Pittsburgh Penguins,0,,18539,141
2/11/2016,Anaheim Ducks,3,Columbus Blue Jackets,4,SO,12117,154
2/11/2016,Dallas Stars,4,Chicago Blackhawks,2,,22051,147
2/11/2016,Toronto Maple Leafs,2,Edmonton Oilers,5,,16839,150
2/11/2016,Washington Capitals,4,Minnesota Wild,3,,19213,161
2/11/2016,Los Angeles Kings,2,New York Islanders,5,,13643,149
2/11/2016,Colorado Avalanche,4,Ottawa Senators,3,,17632,145
2/11/2016,Buffalo Sabres,1,Philadelphia Flyers,5,,19019,144
2/11/2016,Calgary Flames,6,San Jose Sharks,5,SO,16854,171
2/11/2016,Boston Bruins,6,Winnipeg Jets,2,,15294,154
2/12/2016,Calgary Flames,1,Arizona Coyotes,4,,13643,155
2/12/2016,Montreal Canadiens,4,Buffalo Sabres,6,,18505,151
2/12/2016,Pittsburgh Penguins,2,Carolina Hurricanes,1,SO,15783,152
2/12/2016,Colorado Avalanche,3,Detroit Red Wings,2,SO,20027,158
2/12/2016,St. Louis Blues,5,Florida Panthers,3,,13904,148
2/12/2016,Los Angeles Kings,5,New York Rangers,4,OT,,154
2/12/2016,Nashville Predators,3,Tampa Bay Lightning,4,OT,19092,152
2/13/2016,New York Islanders,3,Carolina Hurricanes,6,,16520,140
2/13/2016,Ottawa Senators,2,Columbus Blue Jackets,4,,16164,155
2/13/2016,Anaheim Ducks,3,Chicago Blackhawks,2,OT,22107,156
2/13/2016,Washington Capitals,3,Dallas Stars,4,,18532,144
2/13/2016,Winnipeg Jets,2,Edmonton Oilers,1,SO,16839,163
2/13/2016,Nashville Predators,5,Florida Panthers,0,,15591,152
2/13/2016,Boston Bruins,4,Minnesota Wild,2,,19191,146
2/13/2016,New Jersey Devils,2,Philadelphia Flyers,1,OT,19775,151
2/13/2016,Arizona Coyotes,1,San Jose Sharks,4,,17562,152
2/13/2016,Toronto Maple Leafs,5,Vancouver Canucks,2,,18570,150
2/14/2016,Colorado Avalanche,1,Buffalo Sabres,4,,19070,145
2/14/2016,Boston Bruins,5,Detroit Red Wings,6,,20027,153
2/14/2016,Los Angeles Kings,0,New Jersey Devils,1,,16514,144
2/14/2016,Philadelphia Flyers,1,New York Rangers,3,,18006,156
2/14/2016,St. Louis Blues,2,Tampa Bay Lightning,1,,19092,151
2/15/2016,Montreal Canadiens,2,Arizona Coyotes,6,,14338,136
2/15/2016,Anaheim Ducks,6,Calgary Flames,4,,19289,152
2/15/2016,Toronto Maple Leafs,2,Chicago Blackhawks,7,,21767,146
2/15/2016,Pittsburgh Penguins,1,Florida Panthers,2,SO,15595,165
2/15/2016,Dallas Stars,3,Nashville Predators,2,OT,17113,152
2/15/2016,Detroit Red Wings,1,New York Islanders,4,,15795,141
2/15/2016,Minnesota Wild,5,Vancouver Canucks,2,,18437,152
2/16/2016,Winnipeg Jets,1,Carolina Hurricanes,2,,10489,138
2/16/2016,Boston Bruins,2,Columbus Blue Jackets,1,OT,13140,155
2/16/2016,Anaheim Ducks,5,Edmonton Oilers,3,,16839,163
2/16/2016,Philadelphia Flyers,6,New Jersey Devils,3,,15482,159
2/16/2016,Buffalo Sabres,1,Ottawa Senators,2,SO,15893,156
2/16/2016,Dallas Stars,1,St. Louis Blues,2,OT,18156,155
2/16/2016,San Jose Sharks,4,Tampa Bay Lightning,2,,19092,142
2/16/2016,Los Angeles Kings,1,Washington Capitals,3,,18506,152
2/17/2016,Minnesota Wild,5,Calgary Flames,3,,19289,148
2/17/2016,Montreal Canadiens,2,Colorado Avalanche,3,,16271,147
2/17/2016,Chicago Blackhawks,5,New York Rangers,3,,18006,147
2/18/2016,Dallas Stars,3,Arizona Coyotes,6,,11853,155
2/18/2016,Minnesota Wild,5,Edmonton Oilers,2,,16839,145
2/18/2016,San Jose Sharks,2,Florida Panthers,1,SO,13019,157
2/18/2016,Boston Bruins,0,Nashville Predators,2,,17113,155
2/18/2016,Washington Capitals,3,New York Islanders,2,OT,15795,164
2/18/2016,Carolina Hurricanes,2,Ottawa Senators,4,,16994,150
2/18/2016,Detroit Red Wings,3,Pittsburgh Penguins,6,,18584,150
2/18/2016,Los Angeles Kings,1,St. Louis Blues,2,OT,18923,162
2/18/2016,Winnipeg Jets,5,Tampa Bay Lightning,6,SO,19092,167
2/18/2016,New York Rangers,4,Toronto Maple Leafs,2,,18952,156
2/18/2016,Anaheim Ducks,5,Vancouver Canucks,2,,18435,150
2/19/2016,San Jose Sharks,2,Carolina Hurricanes,5,,11756,141
2/19/2016,Buffalo Sabres,4,Columbus Blue Jackets,0,,14923,147
2/19/2016,Vancouver Canucks,2,Calgary Flames,5,,19289,147
2/19/2016,Philadelphia Flyers,2,Montreal Canadiens,3,SO,21288,170
2/19/2016,New York Islanders,1,New Jersey Devils,0,,16514,137
2/20/2016,St. Louis Blues,6,Arizona Coyotes,4,,15839,149
2/20/2016,Boston Bruins,7,Dallas Stars,3,,18532,178
2/20/2016,Colorado Avalanche,3,Edmonton Oilers,2,,16939,149
2/20/2016,Winnipeg Jets,1,Florida Panthers,3,,16210,147
2/20/2016,Los Angeles Kings,2,Nashville Predators,1,OT,17369,155
2/20/2016,Detroit Red Wings,2,Ottawa Senators,3,SO,18930,164
2/20/2016,Tampa Bay Lightning,4,Pittsburgh Penguins,2,,18643,154
2/20/2016,Philadelphia Flyers,5,Toronto Maple Leafs,4,OT,19060,167
2/20/2016,New Jersey Devils,3,Washington Capitals,4,,18506,146
2/21/2016,Calgary Flames,2,Anaheim Ducks,5,,17174,151
2/21/2016,Pittsburgh Penguins,4,Buffalo Sabres,3,,19070,156
2/21/2016,Tampa Bay Lightning,4,Carolina Hurricanes,2,,10422,140
2/21/2016,Chicago Blackhawks,1,Minnesota Wild,6,,32767,163
2/21/2016,Detroit Red Wings,0,New York Rangers,1,OT,18006,156
2/21/2016,Colorado Avalanche,1,Vancouver Canucks,5,,18431,148
2/22/2016,Columbus Blue Jackets,6,Boston Bruins,4,,17565,157
2/22/2016,Nashville Predators,2,Montreal Canadiens,1,SO,21288,163
2/22/2016,San Jose Sharks,6,St. Louis Blues,3,,19371,152
2/22/2016,Arizona Coyotes,2,Washington Capitals,3,,18506,158
2/23/2016,Philadelphia Flyers,1,Carolina Hurricanes,3,,10896,143
2/23/2016,Columbus Blue Jackets,1,Detroit Red Wings,2,SO,20027,152
2/23/2016,Ottawa Senators,4,Edmonton Oilers,1,,16839,140
2/23/2016,Calgary Flames,1,Los Angeles Kings,2,,18230,158
2/23/2016,New York Islanders,4,Minnesota Wild,1,,19085,153
2/23/2016,New York Rangers,2,New Jersey Devils,5,,16514,152
2/23/2016,Arizona Coyotes,1,Tampa Bay Lightning,2,,19092,157
2/23/2016,Nashville Predators,3,Toronto Maple Leafs,2,,18844,150
2/23/2016,Dallas Stars,5,Winnipeg Jets,3,,15294,152
2/24/2016,Buffalo Sabres,0,Anaheim Ducks,1,,16543,153
2/24/2016,Pittsburgh Penguins,1,Boston Bruins,5,,17565,146
2/24/2016,San Jose Sharks,3,Colorado Avalanche,4,SO,15564,155
2/24/2016,Montreal Canadiens,4,Washington Capitals,3,,18506,163
2/25/2016,New Jersey Devils,1,Columbus Blue Jackets,6,,12590,143
2/25/2016,New York Islanders,2,Calgary Flames,1,OT,19289,154
2/25/2016,Nashville Predators,3,Chicago Blackhawks,1,,22058,142
2/25/2016,Winnipeg Jets,6,Dallas Stars,3,,18532,151
2/25/2016,Arizona Coyotes,2,Florida Panthers,3,,13134,155
2/25/2016,Edmonton Oilers,1,Los Angeles Kings,2,,18230,159
2/25/2016,Minnesota Wild,2,Philadelphia Flyers,3,,18631,149
2/25/2016,New York Rangers,2,St. Louis Blues,1,,17524,142
2/25/2016,Carolina Hurricanes,1,Toronto Maple Leafs,3,,18862,160
2/25/2016,Ottawa Senators,3,Vancouver Canucks,5,,18570,149
2/26/2016,Edmonton Oilers,1,Anaheim Ducks,2,OT,17174,138
2/26/2016,Boston Bruins,4,Carolina Hurricanes,1,,17917,147
2/26/2016,Tampa Bay Lightning,4,New Jersey Devils,0,,15968,153
2/26/2016,Buffalo Sabres,3,San Jose Sharks,1,,17562,137
2/26/2016,Minnesota Wild,2,Washington Capitals,3,,18605,141
2/27/2016,Florida Panthers,3,Columbus Blue Jackets,4,SO,15400,175
2/27/2016,Ottawa Senators,6,Calgary Flames,4,,19289,156
2/27/2016,Detroit Red Wings,5,Colorado Avalanche,3,,32767,159
2/27/2016,New York Rangers,3,Dallas Stars,2,,18532,157
2/27/2016,Buffalo Sabres,0,Los Angeles Kings,2,,18230,148
2/27/2016,Toronto Maple Leafs,1,Montreal Canadiens,4,,21288,160
2/27/2016,St. Louis Blues,0,Nashville Predators,5,,17379,154
2/27/2016,Arizona Coyotes,2,Philadelphia Flyers,4,,19773,150
2/27/2016,Winnipeg Jets,1,Pittsburgh Penguins,4,,18650,143
2/28/2016,Los Angeles Kings,2,Anaheim Ducks,4,,17174,164
2/28/2016,Tampa Bay Lightning,4,Boston Bruins,1,,17565,151
2/28/2016,St. Louis Blues,5,Carolina Hurricanes,2,,15128,150
2/28/2016,Washington Capitals,2,Chicago Blackhawks,3,,22218,144
2/28/2016,New York Islanders,1,Edmonton Oilers,3,,16839,143
2/28/2016,Florida Panthers,1,Minnesota Wild,3,,19093,157
2/28/2016,San Jose Sharks,4,Vancouver Canucks,1,,18570,139
2/29/2016,Detroit Red Wings,3,Dallas Stars,2,OT,18532,160
2/29/2016,Columbus Blue Jackets,1,New York Rangers,2,,18006,146
2/29/2016,Calgary Flames,3,Philadelphia Flyers,5,,19065,157
2/29/2016,Arizona Coyotes,0,Pittsburgh Penguins,6,,18435,149
2/29/2016,Montreal Canadiens,2,San Jose Sharks,6,,16205,148
2/29/2016,Tampa Bay Lightning,2,Toronto Maple Leafs,1,,18933,148
3/1/2016,Calgary Flames,1,Boston Bruins,2,,17565,148
3/1/2016,Edmonton Oilers,2,Buffalo Sabres,1,OT,19070,160
3/1/2016,Colorado Avalanche,3,Minnesota Wild,6,,19107,143
3/1/2016,Carolina Hurricanes,3,New Jersey Devils,1,,14251,146
3/1/2016,Dallas Stars,3,Nashville Predators,5,,17113,165
3/1/2016,St. Louis Blues,4,Ottawa Senators,3,SO,17207,171
3/1/2016,New York Islanders,3,Vancouver Canucks,2,,18264,149
3/1/2016,Florida Panthers,3,Winnipeg Jets,2,,15294,141
3/1/2016,Pittsburgh Penguins,2,Washington Capitals,3,,18506,150
3/2/2016,Montreal Canadiens,2,Anaheim Ducks,3,SO,15273,167
3/2/2016,Chicago Blackhawks,5,Detroit Red Wings,2,,20027,148
3/2/2016,Toronto Maple Leafs,2,Washington Capitals,3,,18506,152
3/3/2016,Anaheim Ducks,5,Arizona Coyotes,1,,11999,151
3/3/2016,Chicago Blackhawks,2,Boston Bruins,4,,17565,145
3/3/2016,Calgary Flames,3,Buffalo Sabres,6,,18651,151
3/3/2016,Florida Panthers,2,Colorado Avalanche,3,,16194,144
3/3/2016,Montreal Canadiens,2,Los Angeles Kings,3,,18230,145
3/3/2016,New Jersey Devils,5,Nashville Predators,4,OT,17113,170
3/3/2016,Tampa Bay Lightning,4,Ottawa Senators,1,,17943,147
3/3/2016,Edmonton Oilers,4,Philadelphia Flyers,0,,18636,152
3/3/2016,New York Rangers,1,Pittsburgh Penguins,4,,18492,142
3/3/2016,Minnesota Wild,2,Toronto Maple Leafs,1,,18915,147
3/3/2016,San Jose Sharks,3,Vancouver Canucks,2,,18422,144
3/3/2016,New York Islanders,4,Winnipeg Jets,3,OT,15294,152
3/4/2016,Edmonton Oilers,3,Columbus Blue Jackets,6,,15010,158
3/4/2016,New Jersey Devils,2,Dallas Stars,4,,18117,151
3/4/2016,New York Rangers,3,Washington Capitals,2,,18506,157
3/5/2016,Florida Panthers,1,Arizona Coyotes,5,,14825,151
3/5/2016,Washington Capitals,2,Boston Bruins,1,OT,17565,160
3/5/2016,Minnesota Wild,3,Buffalo Sabres,2,SO,19070,167
3/5/2016,Nashville Predators,5,Colorado Avalanche,2,,17165,152
3/5/2016,Anaheim Ducks,3,Los Angeles Kings,2,,18230,156
3/5/2016,Columbus Blue Jackets,0,Philadelphia Flyers,6,,19645,143
3/5/2016,Calgary Flames,4,Pittsburgh Penguins,2,,18663,146
3/5/2016,Vancouver Canucks,4,San Jose Sharks,2,,17562,156
3/5/2016,Carolina Hurricanes,3,Tampa Bay Lightning,4,OT,19092,151
3/5/2016,Ottawa Senators,3,Toronto Maple Leafs,2,,19339,152
3/5/2016,Montreal Canadiens,2,Winnipeg Jets,4,,15294,140
3/6/2016,Detroit Red Wings,1,Chicago Blackhawks,4,,22247,144
3/6/2016,St. Louis Blues,4,Minnesota Wild,2,,19040,155
3/6/2016,Pittsburgh Penguins,6,New Jersey Devils,1,,15856,147
3/6/2016,New York Islanders,6,New York Rangers,4,,18006,148
3/6/2016,Dallas Stars,2,Ottawa Senators,1,,19419,153
3/6/2016,Edmonton Oilers,2,Winnipeg Jets,1,,15294,141
3/7/2016,Washington Capitals,2,Anaheim Ducks,1,SO,17174,158
3/7/2016,San Jose Sharks,2,Calgary Flames,1,OT,18740,146
3/7/2016,Arizona Coyotes,1,Colorado Avalanche,3,,15393,149
3/7/2016,Boston Bruins,5,Florida Panthers,4,OT,19194,180
3/7/2016,Vancouver Canucks,1,Los Angeles Kings,5,,18230,141
3/7/2016,Tampa Bay Lightning,2,Philadelphia Flyers,4,,17906,150
3/7/2016,Buffalo Sabres,4,Toronto Maple Leafs,3,SO,18950,170
3/8/2016,New York Rangers,4,Buffalo Sabres,2,,18651,147
3/8/2016,Ottawa Senators,3,Carolina Hurricanes,4,SO,10743,157
3/8/2016,Detroit Red Wings,3,Columbus Blue Jackets,5,,14426,154
3/8/2016,San Jose Sharks,3,Edmonton Oilers,0,,16839,142
3/8/2016,Dallas Stars,3,Montreal Canadiens,4,OT,21288,158
3/8/2016,Pittsburgh Penguins,1,New York Islanders,2,,14724,154
3/8/2016,Boston Bruins,1,Tampa Bay Lightning,0,OT,19092,146
3/8/2016,Nashville Predators,4,Winnipeg Jets,2,,15294,150
3/9/2016,Nashville Predators,2,Calgary Flames,3,OT,19289,149
3/9/2016,Anaheim Ducks,0,Colorado Avalanche,3,,14292,145
3/9/2016,Washington Capitals,3,Los Angeles Kings,4,OT,18324,158
3/9/2016,Chicago Blackhawks,2,St. Louis Blues,3,SO,19756,172
3/9/2016,New York Islanders,3,Toronto Maple Leafs,4,SO,18889,169
3/9/2016,Arizona Coyotes,2,Vancouver Canucks,3,OT,18374,153
3/10/2016,Carolina Hurricanes,3,Boston Bruins,2,OT,17565,154
3/10/2016,Winnipeg Jets,2,Detroit Red Wings,3,,20027,149
3/10/2016,Ottawa Senators,2,Florida Panthers,6,,15051,153
3/10/2016,Edmonton Oilers,2,Minnesota Wild,1,,19058,143
3/10/2016,Buffalo Sabres,2,Montreal Canadiens,3,,21288,174
3/10/2016,New Jersey Devils,3,San Jose Sharks,0,,16234,142
3/11/2016,Pittsburgh Penguins,3,Columbus Blue Jackets,2,,18205,151
3/11/2016,Arizona Coyotes,4,Calgary Flames,1,,19289,146
3/11/2016,Chicago Blackhawks,2,Dallas Stars,5,,18532,153
3/11/2016,Anaheim Ducks,2,St. Louis Blues,5,,19412,148
3/11/2016,Philadelphia Flyers,3,Tampa Bay Lightning,1,,19092,140
3/12/2016,New York Islanders,1,Boston Bruins,3,,17565,147
3/12/2016,Carolina Hurricanes,2,Buffalo Sabres,3,OT,19070,155
3/12/2016,St. Louis Blues,5,Dallas Stars,4,OT,18532,155
3/12/2016,New York Rangers,2,Detroit Red Wings,3,OT,20027,157
3/12/2016,Arizona Coyotes,4,Edmonton Oilers,0,,16839,149
3/12/2016,Philadelphia Flyers,4,Florida Panthers,5,SO,19404,170
3/12/2016,New Jersey Devils,2,Los Angeles Kings,1,OT,18412,150
3/12/2016,Minnesota Wild,4,Montreal Canadiens,1,,21288,148
3/12/2016,Toronto Maple Leafs,0,Ottawa Senators,4,,18557,147
3/12/2016,Washington Capitals,2,San Jose Sharks,5,,17562,146
3/12/2016,Nashville Predators,2,Vancouver Canucks,4,,18570,144
3/12/2016,Colorado Avalanche,2,Winnipeg Jets,3,,15294,149
3/13/2016,Tampa Bay Lightning,4,Columbus Blue Jackets,0,,14701,146
3/13/2016,Toronto Maple Leafs,1,Detroit Red Wings,0,,20027,160
3/13/2016,Pittsburgh Penguins,5,New York Rangers,3,,18006,145
3/14/2016,New Jersey Devils,1,Anaheim Ducks,7,,15423,153
3/14/2016,St. Louis Blues,4,Calgary Flames,7,,19107,163
3/14/2016,Los Angeles Kings,5,Chicago Blackhawks,0,,22170,152
3/14/2016,Nashville Predators,3,Edmonton Oilers,2,,16839,153
3/14/2016,Florida Panthers,2,New York Islanders,3,,14106,138
3/14/2016,Winnipeg Jets,5,Vancouver Canucks,2,,18361,134
3/15/2016,Los Angeles Kings,5,Dallas Stars,2,,18532,147
3/15/2016,Florida Panthers,4,Montreal Canadiens,1,,21288,151
3/15/2016,Minnesota Wild,2,Ottawa Senators,3,OT,18966,154
3/15/2016,Detroit Red Wings,3,Philadelphia Flyers,4,,19806,163
3/15/2016,New York Islanders,1,Pittsburgh Penguins,2,SO,18456,161
3/15/2016,Boston Bruins,2,San Jose Sharks,3,,16624,150
3/15/2016,Tampa Bay Lightning,1,Toronto Maple Leafs,4,,18874,147
3/15/2016,Carolina Hurricanes,1,Washington Capitals,2,OT,18506,142
3/16/2016,New York Rangers,2,Anaheim Ducks,1,,15400,149
3/16/2016,Montreal Canadiens,3,Buffalo Sabres,2,OT,18815,178
3/16/2016,Winnipeg Jets,1,Calgary Flames,4,,18929,151
3/16/2016,Philadelphia Flyers,3,Chicago Blackhawks,2,,22113,140
3/16/2016,St. Louis Blues,4,Edmonton Oilers,6,,16839,159
3/16/2016,Colorado Avalanche,3,Vancouver Canucks,1,,18426,140
3/17/2016,San Jose Sharks,1,Arizona Coyotes,3,,13005,148
3/17/2016,Detroit Red Wings,3,Columbus Blue Jackets,1,,14415,149
3/17/2016,Tampa Bay Lightning,3,Dallas Stars,4,,18532,150
3/17/2016,New York Rangers,3,Los Angeles Kings,4,OT,18230,156
3/17/2016,Minnesota Wild,4,New Jersey Devils,7,,15114,152
3/17/2016,New York Islanders,2,Nashville Predators,4,,17113,146
3/17/2016,Carolina Hurricanes,2,Pittsburgh Penguins,4,,18455,151
3/17/2016,Florida Panthers,4,Toronto Maple Leafs,1,,18922,152
3/18/2016,Boston Bruins,0,Anaheim Ducks,4,,16707,140
3/18/2016,Ottawa Senators,1,Buffalo Sabres,3,,19070,155
3/18/2016,Colorado Avalanche,4,Calgary Flames,3,SO,19289,163
3/18/2016,Vancouver Canucks,0,Edmonton Oilers,2,,16839,149
3/18/2016,Chicago Blackhawks,4,Winnipeg Jets,0,,15294,143
3/18/2016,Nashville Predators,1,Washington Capitals,4,,18506,148
3/19/2016,Tampa Bay Lightning,2,Arizona Coyotes,0,,14183,155
3/19/2016,New Jersey Devils,3,Columbus Blue Jackets,6,,14447,156
3/19/2016,New York Islanders,0,Dallas Stars,3,,18532,141
3/19/2016,Detroit Red Wings,5,Florida Panthers,3,,20817,158
3/19/2016,Boston Bruins,1,Los Angeles Kings,2,,18373,146
3/19/2016,Carolina Hurricanes,2,Minnesota Wild,3,SO,19044,158
3/19/2016,Montreal Canadiens,0,Ottawa Senators,5,,19722,147
3/19/2016,Pittsburgh Penguins,4,Philadelphia Flyers,1,,19967,159
3/19/2016,New York Rangers,1,San Jose Sharks,4,,16888,150
3/19/2016,Buffalo Sabres,1,Toronto Maple Leafs,4,,18829,150
3/19/2016,St. Louis Blues,3,Vancouver Canucks,0,,18402,149
3/20/2016,Minnesota Wild,3,Chicago Blackhawks,2,SO,22059,170
3/20/2016,Colorado Avalanche,3,Edmonton Oilers,2,,16839,147
3/20/2016,Calgary Flames,4,Montreal Canadiens,1,,21288,145
3/20/2016,Columbus Blue Jackets,1,New Jersey Devils,2,,15146,146
3/20/2016,Washington Capitals,2,Pittsburgh Penguins,6,,18656,161
3/20/2016,Arizona Coyotes,0,San Jose Sharks,3,,15756,149
3/20/2016,Anaheim Ducks,3,Winnipeg Jets,2,OT,15294,160
3/21/2016,Los Angeles Kings,2,Nashville Predators,5,,17113,150
3/21/2016,Philadelphia Flyers,4,New York Islanders,1,,14329,143
3/21/2016,Florida Panthers,2,New York Rangers,4,,18006,156
3/21/2016,Calgary Flames,2,Toronto Maple Leafs,5,,19069,152
3/22/2016,Edmonton Oilers,2,Arizona Coyotes,4,,13408,145
3/22/2016,Buffalo Sabres,3,Carolina Hurricanes,2,,12676,150
3/22/2016,Philadelphia Flyers,2,Columbus Blue Jackets,3,SO,16230,177
3/22/2016,Dallas Stars,6,Chicago Blackhawks,2,,22034,147
3/22/2016,Los Angeles Kings,1,Minnesota Wild,2,,19018,152
3/22/2016,Anaheim Ducks,3,Montreal Canadiens,4,,21288,148
3/22/2016,Washington Capitals,4,Ottawa Senators,2,,19313,148
3/22/2016,St. Louis Blues,1,San Jose Sharks,0,,15411,148
3/22/2016,Detroit Red Wings,2,Tampa Bay Lightning,6,,19092,149
3/22/2016,Vancouver Canucks,0,Winnipeg Jets,2,,15294,137
3/23/2016,Ottawa Senators,1,New York Islanders,3,,13837,147
3/23/2016,Boston Bruins,2,New York Rangers,5,,18006,161
3/24/2016,Dallas Stars,1,Arizona Coyotes,3,,11887,148
3/24/2016,Florida Panthers,4,Boston Bruins,1,,17565,165
3/24/2016,Carolina Hurricanes,3,Columbus Blue Jackets,2,,16031,154
3/24/2016,Philadelphia Flyers,4,Colorado Avalanche,2,,18087,148
3/24/2016,Montreal Canadiens,3,Detroit Red Wings,4,,20027,157
3/24/2016,Calgary Flames,2,Minnesota Wild,6,,19032,154
3/24/2016,Vancouver Canucks,2,Nashville Predators,3,SO,17113,155
3/24/2016,New Jersey Devils,3,Pittsburgh Penguins,0,,18610,141
3/24/2016,Edmonton Oilers,6,San Jose Sharks,3,,16570,148
3/24/2016,Anaheim Ducks,5,Toronto Maple Leafs,6,OT,18935,158
3/24/2016,Los Angeles Kings,1,Winnipeg Jets,4,,15294,143
3/25/2016,Washington Capitals,1,New Jersey Devils,0,OT,16514,147
3/25/2016,Vancouver Canucks,0,St. Louis Blues,4,,19580,143
3/25/2016,New York Islanders,4,Tampa Bay Lightning,7,,19092,157
3/26/2016,Philadelphia Flyers,1,Arizona Coyotes,2,,16002,164
3/26/2016,Winnipeg Jets,2,Buffalo Sabres,3,,19070,144
3/26/2016,New York Islanders,4,Carolina Hurricanes,3,OT,11636,149
3/26/2016,Chicago Blackhawks,4,Calgary Flames,1,,19289,143
3/26/2016,Minnesota Wild,4,Colorado Avalanche,0,,18007,151
3/26/2016,Pittsburgh Penguins,7,Detroit Red Wings,2,,20027,156
3/26/2016,Edmonton Oilers,4,Los Angeles Kings,6,,18230,152
3/26/2016,New York Rangers,5,Montreal Canadiens,2,,21288,142
3/26/2016,Columbus Blue Jackets,1,Nashville Predators,5,,17113,144
3/26/2016,Anaheim Ducks,4,Ottawa Senators,3,OT,18162,149
3/26/2016,Dallas Stars,4,San Jose Sharks,2,,16439,155
3/26/2016,Florida Panthers,5,Tampa Bay Lightning,2,,19092,148
3/26/2016,Boston Bruins,3,Toronto Maple Leafs,1,,19185,158
3/26/2016,St. Louis Blues,4,Washington Capitals,0,,18506,141
3/27/2016,New Jersey Devils,2,Carolina Hurricanes,3,,12792,143
3/27/2016,Pittsburgh Penguins,3,New York Rangers,2,OT,18006,162
3/27/2016,Chicago Blackhawks,3,Vancouver Canucks,2,,18570,146
3/28/2016,Calgary Flames,5,Arizona Coyotes,2,,14347,150
3/28/2016,Buffalo Sabres,2,Detroit Red Wings,3,,20027,150
3/28/2016,Anaheim Ducks,2,Edmonton Oilers,1,,16839,147
3/28/2016,Colorado Avalanche,4,Nashville Predators,3,,16443,154
3/28/2016,Winnipeg Jets,2,Philadelphia Flyers,3,OT,19100,156
3/28/2016,Los Angeles Kings,2,San Jose Sharks,5,,17066,149
3/28/2016,Toronto Maple Leafs,0,Tampa Bay Lightning,3,,19092,151
3/28/2016,Columbus Blue Jackets,1,Washington Capitals,4,,18506,146
3/29/2016,Nashville Predators,2,Dallas Stars,5,,18265,156
3/29/2016,Toronto Maple Leafs,5,Florida Panthers,2,,16724,145
