Date,Visitor,G,Home,G,OT/SO,Attendance,Length of Game
11/17/2015,St. Louis Blues,1,Columbus Blue Jackets,3,,12161,147
11/17/2015,New Jersey Devils,2,Calgary Flames,3,,19289,147
11/17/2015,Anaheim Ducks,2,Nashville Predators,3,,17113,150
11/17/2015,Los Angeles Kings,3,Philadelphia Flyers,2,SO,18846,156
11/17/2015,Minnesota Wild,3,Pittsburgh Penguins,4,,18495,163
11/17/2015,Colorado Avalanche,1,Toronto Maple Leafs,5,,19238,145
11/18/2015,Washington Capitals,2,Detroit Red Wings,1,OT,20027,146
11/18/2015,Chicago Blackhawks,4,Edmonton Oilers,3,OT,16839,153
11/18/2015,Vancouver Canucks,1,Winnipeg Jets,4,,15294,153
11/19/2015,Minnesota Wild,2,Boston Bruins,4,,17565,149
11/19/2015,Anaheim Ducks,3,Florida Panthers,1,,10947,150
11/19/2015,Arizona Coyotes,3,Montreal Canadiens,2,,21288,157
11/19/2015,Columbus Blue Jackets,0,Ottawa Senators,3,,16925,157
11/19/2015,San Jose Sharks,1,Philadelphia Flyers,0,OT,18229,157
11/19/2015,Colorado Avalanche,3,Pittsburgh Penguins,4,,18430,149
11/19/2015,Buffalo Sabres,2,St. Louis Blues,3,SO,17359,158
11/19/2015,New York Rangers,1,Tampa Bay Lightning,2,,19092,153
11/19/2015,Dallas Stars,3,Washington Capitals,2,,18506,147
11/20/2015,Toronto Maple Leafs,2,Carolina Hurricanes,1,SO,10327,172
11/20/2015,Nashville Predators,0,Columbus Blue Jackets,4,,13584,144
11/20/2015,Chicago Blackhawks,1,Calgary Flames,2,OT,19289,152
11/20/2015,Los Angeles Kings,2,Detroit Red Wings,3,,20027,148
11/20/2015,New Jersey Devils,1,Edmonton Oilers,5,,16839,142
11/20/2015,Montreal Canadiens,5,New York Islanders,3,,15171,155
11/21/2015,Toronto Maple Leafs,0,Boston Bruins,2,,17565,153
11/21/2015,Buffalo Sabres,0,Dallas Stars,3,,18532,145
11/21/2015,New York Rangers,5,Florida Panthers,4,OT,17866,168
11/21/2015,Nashville Predators,0,Minnesota Wild,4,,19056,153
11/21/2015,Philadelphia Flyers,0,Ottawa Senators,4,,18578,149
11/21/2015,San Jose Sharks,3,Pittsburgh Penguins,1,,18534,149
11/21/2015,Detroit Red Wings,4,St. Louis Blues,3,OT,18098,157
11/21/2015,Anaheim Ducks,0,Tampa Bay Lightning,5,,19092,151
11/21/2015,Chicago Blackhawks,3,Vancouver Canucks,6,,18570,144
11/21/2015,Arizona Coyotes,2,Winnipeg Jets,3,,15294,149
11/21/2015,Colorado Avalanche,3,Washington Capitals,7,,18506,154
11/22/2015,Los Angeles Kings,3,Carolina Hurricanes,4,,10154,153
11/22/2015,San Jose Sharks,5,Columbus Blue Jackets,3,,13397,154
11/22/2015,New York Islanders,2,Montreal Canadiens,4,,21288,148
11/22/2015,New Jersey Devils,3,Vancouver Canucks,2,,18268,155
11/23/2015,St. Louis Blues,2,Buffalo Sabres,1,,17563,148
11/23/2015,Los Angeles Kings,3,Florida Panthers,1,,10997,153
11/23/2015,Nashville Predators,0,New York Rangers,3,,18006,149
11/23/2015,Carolina Hurricanes,2,Philadelphia Flyers,3,OT,18636,153
11/23/2015,Boston Bruins,4,Toronto Maple Leafs,3,SO,19609,178
11/23/2015,Colorado Avalanche,4,Winnipeg Jets,1,,15294,139
11/23/2015,Edmonton Oilers,0,Washington Capitals,1,,18506,141
